"id","description","chart_template_id:id","type_tax_use","name","amount_type","amount","account_id:id","refund_account_id:id","children_tax_ids:id","tag_ids:id"
"id_tax_ST1","ST1","l10n_id","sale","PPN (10%)","percent",10.0,id_2-122101,id_2-122101,,"tag_id_tax_st1"
"id_tax_PT1","PT1","l10n_id","purchase","PPN Masukan (10%)","percent",10.0,id_2-122102,id_2-122102,,"tag_id_tax_pt1"
