id,name,applicability
tag_ie_st0,ST0,taxes
tag_ie_st1,ST1,taxes
tag_ie_st2,ST2,taxes
tag_ie_pt0,PT0,taxes
tag_ie_pt1,PT1,taxes
tag_ie_pt2,PT2,taxes
tag_ie_pt8m,PT8M,taxes
tag_ie_pt8r,PT8R,taxes
tag_ie_pt8,PT8,taxes
tag_ie_pt5,PT5,taxes
tag_ie_st4,ST4,taxes
tag_ie_pt7,PT7,taxes
tag_ie_st11,ST11,taxes
tag_ie_pt11,PT11,taxes
tag_ie_st5,ST5,taxes
